Code_commune_INSEE  Nom_commune
01004  AMBERIEU EN BUGEY
01008  AMBUTRIX
01015  ARBOYS EN BUGEY
01017  ARGIS
01019  ARMIX
01022  ARTEMARE
01033  VALSERHONE
01036  VALROMEY SUR SERAN
01044  BILLIAT
01047  BLYES
01051  BOLOZON
01053  BOURG EN BRESSE
01054  BOURG ST CHRISTOPHE
01064  BRIORD
01080  CHAMPDOR CORCELLES
01084  CHANOZ CHATENAY
01090  CHATENAY
01093  CHATILLON SUR CHALARONNE
01006  AMBLEON
01007  AMBRONAY
01014  ARBENT
01015  ARBOYS EN BUGEY
01016  ARBIGNY
01026  BAGE LE CHATEL
01027  BALAN
01034  BELLEY
01036  VALROMEY SUR SERAN
01036  VALROMEY SUR SERAN
01037  BENONCES
01039  BEON
01050  BOISSEY
01062  BRESSOLLES
01063  BRION
01067  CEIGNES
01068  CERDON
01069  CERTINES
01071  CESSY
01073  CEYZERIEU
01074  CHALAMONT
01076  CHALEY
01077  CHALLES LA MONTAGNE
01080  CHAMPDOR CORCELLES
01088  CHARNOZ SUR AIN
01089  CHATEAU GAILLARD
01095  NIVIGNE ET SURAN
01098  CHAZEY BONS
01009  ANDERT ET CONDON
01012  ARANC
01023  ASNIERES SUR SAONE
01029  BEAUPONT
01032  BELIGNEUX
01033  VALSERHONE
01036  VALROMEY SUR SERAN
01036  VALROMEY SUR SERAN
01036  VALROMEY SUR SERAN
01036  VALROMEY SUR SERAN
01045  BIRIEUX
01049  LA BOISSE
01050  BOISSEY
01054  BOURG ST CHRISTOPHE
01066  LA BURBANCHE
01078  CHALLEX
01079  CHAMPAGNE EN VALROMEY
01079  CHAMPAGNE EN VALROMEY
01085  LA CHAPELLE DU CHATELARD
01011  APREMONT
01021  ARS SUR FORMANS
01028  BANEINS
01031  BELLIGNAT
01033  VALSERHONE
01033  VALSERHONE
01035  BELLEYDOUX
01043  BEYNOST
01046  BIZIAT
01052  BOULIGNEUX
01053  BOURG EN BRESSE
01057  BOZ
01058  BREGNIER CORDON
01062  BRESSOLLES
01065  BUELLAS
01065  BUELLAS
01072  CEYZERIAT
01079  CHAMPAGNE EN VALROMEY
01082  CHANAY
01083  CHANEINS
01087  CHARIX
01094  CHAVANNES SUR REYSSOUZE
01095  NIVIGNE ET SURAN
01098  CHAZEY BONS
01099  CHAZEY SUR AIN
01001  L ABERGEMENT CLEMENCIAT
01002  L ABERGEMENT DE VAREY
01005  AMBERIEUX EN DOMBES
01010  ANGLEFORT
01013  ARANDAS
01024  ATTIGNAT
01025  BAGE DOMMARTIN
01025  BAGE DOMMARTIN
01030  BEAUREGARD
01032  BELIGNEUX
01032  BELIGNEUX
01032  BELIGNEUX
01033  VALSERHONE
01038  BENY
01040  BEREZIAT
01041  BETTANT
01042  BEY
01056  BOYEUX ST JEROME
01060  BRENOD
01061  BRENS
01075  CHALEINS
01081  CHAMPFROMIER
01092  CHATILLON LA PALUD
01096  CHAVEYRIAT
01100  CHEIGNIEU LA BALME
01104  CHEZERY FORENS
01107  CLEYZIEU
01108  COLIGNY
01109  COLLONGES
01114  CONFORT
01138  CULOZ
01143  DIVONNE LES BAINS
01146  DOMPIERRE SUR CHALARONNE
01147  DOMSURE
01156  FARAMANS
01157  FAREINS
01166  FRANS
01173  GEX
01185  PLATEAU D HAUTEVILLE
01187  HAUT VALROMEY
01197  JOURNANS
01102  CHEVROUX
01104  CHEZERY FORENS
01106  CIZE
01110  COLOMIEU
01113  CONDEISSIAT
01118  CORBONOD
01121  CORLIER
01124  CORMOZ
01128  COURTES
01133  CRESSIN ROCHEFORT
01134  CROTTET
01136  CRUZILLES LES MEPILLAT
01163  FOISSIAT
01165  FRANCHELEINS
01167  GARNERANS
01171  GEOVREISSET
01181  GROISSIAT
01187  HAUT VALROMEY
01189  INJOUX GENISSIAT
01199  JUJURIEUX
01101  CHEVILLARD
01105  CIVRIEUX
01115  CONFRANCON
01125  CORVEISSIAT
01127  COURMANGOUX
01129  CRANS
01130  BRESSE VALLONS
01141  CUZIEU
01145  DOMPIERRE SUR VEYLE
01149  DOUVRES
01151  DRUILLAT
01155  EVOSGES
01160  FERNEY VOLTAIRE
01162  FLAXIEU
01169  GENOUILLEUX
01170  BEARD GEOVREISSIAT
01174  GIRON
01184  HAUTECOURT ROMANECHE
01184  HAUTECOURT ROMANECHE
01188  ILLIAT
01194  JASSANS RIOTTIER
01195  JASSERON
01111  CONAND
01112  CONDAMINE
01117  CONZIEU
01140  CURTAFOND
01142  DAGNEUX
01152  ECHALLON
01153  ECHENEVEX
01159  FEILLENS
01165  FRANCHELEINS
01179  GRIEGES
01183  GUEREINS
01185  PLATEAU D HAUTEVILLE
01187  HAUT VALROMEY
01187  HAUT VALROMEY
01189  INJOUX GENISSIAT
01191  IZENAVE
01192  IZERNORE
01103  CHEVRY
01116  CONTREVOZ
01123  CORMORANCHE SUR SAONE
01130  BRESSE VALLONS
01134  CROTTET
01135  CROZET
01139  CURCIAT DONGALON
01148  DORTAN
01150  DROM
01158  FARGES
01165  FRANCHELEINS
01175  GORREVOD
01177  GRAND CORENT
01180  GRILLY
01185  PLATEAU D HAUTEVILLE
01185  PLATEAU D HAUTEVILLE
01190  INNIMOND
01193  IZIEU
01196  JAYAT
01198  JOYEUX
01211  LENT
01212  LESCHEROUX
01216  LHUIS
01219  LOMPNAS
01224  LOYETTES
01231  MANZIAT
01240  MATAFELON GRANGES
01245  BOHAS MEYRIAT RIGNAT
01250  MISERIEUX
01257  MONTANGES
01260  LE MONTELLIER
01266  MONTREVEL EN BRESSE
01267  NURIEUX VOLOGNAT
01269  NANTUA
01275  NEYRON
01298  PLAGNE
01214  LEYSSARD
01228  MAILLAT
01235  MARLIEUX
01245  BOHAS MEYRIAT RIGNAT
01246  MEZERIAT
01247  MIJOUX
01254  MONTAGNAT
01255  MONTAGNIEU
01262  MONTLUEL
01264  MONTRACOL
01268  MURS ET GELIGNIEUX
01281  ORNEX
01282  OUTRIAZ
01283  OYONNAX
01293  PEYRIAT
01296  PIRAJOUX
01297  PIZAY
01206  LANTENAY
01209  LEAZ
01225  LURCY
01229  MALAFRETAZ
01230  MANTENAY MONTLIN
01236  MARSONNAS
01237  MARTIGNAT
01242  MERIGNAT
01243  MESSIMY SUR SAONE
01244  MEXIMIEUX
01245  BOHAS MEYRIAT RIGNAT
01248  MIONNAY
01249  MIRIBEL
01249  MIRIBEL
01258  MONTCEAUX
01263  MONTMERLE SUR SAONE
01269  NANTUA
01273  NEUVILLE SUR AIN
01274  LES NEYROLLES
01277  NIVOLLET MONTGRIFFON
01280  ORDONNAZ
01283  OYONNAX
01284  OZAN
01290  PEROUGES
01202  LAGNIEU
01204  LE POIZAT LALLEYRIAT
01204  LE POIZAT LALLEYRIAT
01207  LAPEYROUSE
01208  LAVOURS
01213  LEYMENT
01227  MAGNIEU
01233  MARCHAMP
01234  MARIGNIEU
01238  MASSIEUX
01240  MATAFELON GRANGES
01241  MEILLONNAS
01249  MIRIBEL
01252  MOGNENEINS
01261  MONTHIEUX
01272  NEUVILLE LES DAMES
01283  OYONNAX
01285  PARCIEUX
01286  PARVES ET NATTAGES
01286  PARVES ET NATTAGES
01288  PERON
01289  PERONNAS
01299  LE PLANTAY
01200  LABALME
01203  LAIZ
01210  LELEX
01215  SURJOUX LHOPITAL
01215  SURJOUX LHOPITAL
01227  MAGNIEU
01232  MARBOZ
01239  MASSIGNIEU DE RIVES
01247  MIJOUX
01259  MONTCET
01262  MONTLUEL
01262  MONTLUEL
01265  MONTREAL LA CLUSE
01267  NURIEUX VOLOGNAT
01276  NIEVROZ
01279  ONCIEU
01291  PERREX
01294  PEYRIEU
01295  PEYZIEUX SUR SAONE
01318  RANCE
01325  RIGNIEUX LE FRANC
01331  ST ALBAN
01339  ST BERNARD
01348  ST DIDIER SUR CHALARONNE
01350  ST ETIENNE DU BOIS
01357  ST GERMAIN DE JOUX
01359  ST GERMAIN SUR RENON
01362  ST JEAN DE THURIGNEUX
01367  ST JULIEN SUR REYSSOUZE
01380  ST NIZIER LE BOUCHOUX
01384  ST RAMBERT EN BUGEY
01386  ST SORLIN EN BUGEY
01398  SAVIGNEUX
01399  SEGNY
01303  PONCIN
01306  PONT DE VEYLE
01311  PREMILLIEU
01314  PRIAY
01321  REVONNAS
01333  ST ANDRE DE CORCY
01334  ST ANDRE D HUIRIAT
01338  GROSLEE ST BENOIT
01338  GROSLEE ST BENOIT
01342  STE CROIX
01343  ST CYR SUR MENTHON
01352  ST ETIENNE SUR REYSSOUZE
01365  ST JEAN SUR VEYLE
01379  ST MAURICE DE REMENS
01381  ST NIZIER LE DESERT
01304  PONT D AIN
01307  PORT
01308  POUGNY
01310  PREMEYZEL
01313  PREVESSIN MOENS
01313  PREVESSIN MOENS
01317  RAMASSE
01320  REPLONGES
01344  ST DENIS LES BOURG
01349  ST ELOI
01353  STE EUPHEMIE
01354  ST GENIS POUILLY
01360  ST JEAN DE GONVILLE
01366  STE JULIE
01368  ST JULIEN SUR VEYLE
01371  ST MARCEL
01373  ST MARTIN DU FRENE
